customer_id,total_spending,average_transaction_amount,transaction_count,loyalty_tier,run_id,ingestion_timestamp
C00001,51749.72,8624.953333333333,6,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00002,26981.67,13490.835,2,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00003,12857.14,6428.57,2,Gold,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00004,9366.34,3122.1133333333332,3,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00005,35670.91,8917.7275,4,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00006,17768.81,5922.936666666667,3,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00007,25175.07,8391.69,3,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00008,1541.37,1541.37,1,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00009,16176.64,8088.32,2,Platinum,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00010,17372.08,8686.04,2,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00011,43375.619999999995,14458.539999999999,3,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00012,53907.04,10781.408,5,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00013,19112.68,9556.34,2,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00014,1141.18,1141.18,1,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00015,4056.68,4056.68,1,Bronze,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00016,61392.34,8770.334285714285,7,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00017,23542.37,7847.456666666666,3,Platinum,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00018,19134.27,6378.09,3,Silver,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00019,22010.31,11005.155,2,Platinum,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
C00020,59812.89,11962.578,5,Gold,run_20260808_200931,2026-08-08T20:09:31.962442+00:00
