transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,transaction_amount,payment_method,ingestion_timestamp,run_id,transaction_amount_bucket,category
T0000001,C00016,P0005,2026-01-23,1,513.79,513.79,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Beauty
T0000002,C00007,P0009,2025-09-09,3,4056.68,12170.04,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000003,C00012,P0008,2024-10-24,5,1141.18,5705.9,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000004,C00017,P0009,2026-01-09,3,4056.68,12170.04,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000005,C00020,P0007,2024-08-16,3,3594.3,10782.9,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000006,C00002,P0003,2025-04-21,4,3716.31,14865.24,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000007,C00016,P0003,2026-03-29,1,3716.31,3716.31,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000008,C00001,P0009,2025-04-14,1,4056.68,4056.68,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Grocery
T0000009,C00005,P0004,2024-08-21,4,2972.94,11891.76,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000010,C00004,P0002,2026-08-06,3,740.71,2222.13,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Home & Kitchen
T0000011,C00015,P0009,2025-01-15,1,4056.68,4056.68,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Grocery
T0000012,C00001,P0003,2025-12-31,4,3716.31,14865.24,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000013,C00020,P0009,2025-09-24,5,4056.68,20283.4,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000014,C00006,P0003,2025-06-26,3,3716.31,11148.93,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000015,C00010,P0006,2024-08-15,5,3029.99,15149.95,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000016,C00006,P0008,2025-09-21,4,1141.18,4564.72,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000017,C00016,P0002,2025-07-02,1,740.71,740.71,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Home & Kitchen
T0000018,C00003,P0010,2025-01-10,3,4038.81,12116.43,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000019,C00013,P0007,2025-08-18,5,3594.3,17971.5,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000020,C00012,P0010,2026-02-05,3,4038.81,12116.43,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000021,C00001,P0005,2025-06-25,1,513.79,513.79,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Beauty
T0000022,C00018,P0010,2024-11-07,3,4038.81,12116.43,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000023,C00019,P0010,2026-07-30,1,4038.81,4038.81,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Beauty
T0000024,C00019,P0007,2026-03-07,5,3594.3,17971.5,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000025,C00017,P0006,2025-04-19,3,3029.99,9089.97,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000026,C00013,P0008,2025-10-15,1,1141.18,1141.18,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000027,C00005,P0005,2025-08-16,1,513.79,513.79,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Beauty
T0000028,C00006,P0005,2025-07-24,4,513.79,2055.16,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Beauty
T0000029,C00020,P0004,2025-03-07,4,2972.94,11891.76,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000030,C00003,P0002,2026-05-13,1,740.71,740.71,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Home & Kitchen
T0000031,C00011,P0003,2025-06-10,2,3716.31,7432.62,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000032,C00020,P0003,2025-10-04,3,3716.31,11148.93,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000033,C00016,P0001,2025-07-03,5,3720.67,18603.35,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000034,C00007,P0007,2025-02-22,3,3594.3,10782.9,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000035,C00001,P0006,2025-12-17,3,3029.99,9089.97,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000036,C00009,P0009,2025-11-24,1,4056.68,4056.68,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Grocery
T0000037,C00001,P0006,2026-02-13,1,3029.99,3029.99,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Electronics
T0000038,C00012,P0010,2024-11-03,5,4038.81,20194.05,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000039,C00001,P0010,2024-12-21,5,4038.81,20194.05,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000040,C00009,P0006,2024-10-07,4,3029.99,12119.96,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000041,C00010,P0002,2025-01-16,3,740.71,2222.13,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Home & Kitchen
T0000042,C00008,P0005,2025-01-23,3,513.79,1541.37,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Beauty
T0000043,C00016,P0003,2025-07-25,4,3716.31,14865.24,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000044,C00018,P0008,2025-09-22,3,1141.18,3423.54,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000045,C00016,P0007,2026-03-28,3,3594.3,10782.9,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000046,C00002,P0010,2024-08-14,3,4038.81,12116.43,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000047,C00004,P0001,2026-03-07,1,3720.67,3720.67,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Electronics
T0000048,C00011,P0007,2024-08-23,5,3594.3,17971.5,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000049,C00017,P0008,2026-07-03,2,1141.18,2282.36,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000050,C00014,P0008,2025-11-04,1,1141.18,1141.18,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000051,C00011,P0007,2025-12-23,5,3594.3,17971.5,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Home & Kitchen
T0000052,C00012,P0006,2025-06-18,5,3029.99,15149.95,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Electronics
T0000053,C00012,P0002,2025-09-10,1,740.71,740.71,Cash,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,501-1000,Home & Kitchen
T0000054,C00016,P0009,2024-11-26,3,4056.68,12170.04,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Grocery
T0000055,C00018,P0007,2025-08-28,1,3594.3,3594.3,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Home & Kitchen
T0000056,C00004,P0008,2026-01-29,3,1141.18,3423.54,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Clothing
T0000057,C00007,P0002,2025-06-24,3,740.71,2222.13,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,1001-5000,Home & Kitchen
T0000058,C00005,P0010,2025-08-01,3,4038.81,12116.43,Credit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Beauty
T0000059,C00005,P0003,2025-10-27,3,3716.31,11148.93,UPI,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
T0000060,C00020,P0008,2024-12-08,5,1141.18,5705.9,Debit Card,2026-08-08T20:09:31.962442+00:00,run_20260808_200931,5001+,Clothing
