product_id,product_name,category,unit_price
P0001,Classic Headphones 1,Electronics,3720.67
P0002,Premium Bottle 2,Home & Kitchen,740.71
P0003,Classic Backpack 3,Clothing,3716.31
P0004,Comfort Headphones 4,Grocery,2972.94
P0005,Classic Headphones 5,Beauty,513.79
P0006,Premium Lamp 6,Electronics,3029.99
P0007,Comfort Bottle 7,Home & Kitchen,3594.3
P0008,Comfort Coffee 8,Clothing,1141.18
P0009,Comfort T-Shirt 9,Grocery,4056.68
P0010,Classic Notebook 10,Beauty,4038.81
P0011,Smart T-Shirt 11,Electronics,1425.46
P0012,Premium Notebook 12,Home & Kitchen,1716.14
P0013,Classic Coffee 13,Clothing,528.75
P0014,Everyday Lamp 14,Grocery,1359.38
P0015,Classic Backpack 15,Beauty,2324.15
P0016,Classic Coffee 16,Electronics,440.06
P0017,Everyday Notebook 17,Home & Kitchen,3161.77
P0018,Everyday Lamp 18,Clothing,1001.83
P0019,Classic Headphones 19,Grocery,3323.25
P0020,Everyday Headphones 20,Beauty,4283.82
P0021,Classic Coffee 21,Electronics,1425.97
P0022,Everyday Bottle 22,Home & Kitchen,1882.4
P0023,Premium Backpack 23,Clothing,1371.54
P0024,Classic Lamp 24,Grocery,3193.14
P0025,Comfort Backpack 25,Beauty,1261.81
P0026,Smart Coffee 26,Electronics,1386.24
P0027,Comfort Bottle 27,Home & Kitchen,3438.84
P0028,Classic Bottle 28,Clothing,4117.92
P0029,Everyday Coffee 29,Grocery,1375.32
P0030,Premium Lamp 30,Beauty,4388.02
P0031,Everyday Bottle 31,Electronics,3294.42
P0032,Smart Backpack 32,Home & Kitchen,2321.32
P0033,Everyday Bottle 33,Clothing,1270.81
P0034,Comfort Lamp 34,Grocery,1350.57
P0035,Comfort Coffee 35,Beauty,4494.22
P0036,Smart T-Shirt 36,Electronics,1135.64
P0037,Premium Lamp 37,Home & Kitchen,2492.9
P0038,Classic Notebook 38,Clothing,592.76
P0039,Premium Notebook 39,Grocery,3418.38
P0040,Comfort Headphones 40,Beauty,1954.6
P0041,Comfort Coffee 41,Electronics,2669.12
P0042,Comfort Notebook 42,Home & Kitchen,4715.03
P0043,Classic Backpack 43,Clothing,4429.7
P0044,Everyday Notebook 44,Grocery,3222.76
P0045,Classic T-Shirt 45,Beauty,2202.09
P0046,Smart Headphones 46,Electronics,4771.39
P0047,Everyday Lamp 47,Home & Kitchen,3821.71
P0048,Comfort Headphones 48,Clothing,4359.07
P0049,Everyday Notebook 49,Grocery,3212.8
P0050,Comfort Bottle 50,Beauty,806.55
P0051,Premium Lamp 51,Electronics,4769.82
P0052,Comfort Headphones 52,Home & Kitchen,3014.78
P0053,Smart Headphones 53,Clothing,603.75
P0054,Everyday Notebook 54,Grocery,4043.54
P0055,Premium Headphones 55,Beauty,1242.31
P0056,Comfort Headphones 56,Electronics,473.98
P0057,Smart Notebook 57,Home & Kitchen,392.6
P0058,Comfort Notebook 58,Clothing,672.51
P0059,Smart Lamp 59,Grocery,867.38
P0060,Comfort Notebook 60,Beauty,3052.64
P0061,Premium Lamp 61,Electronics,3788.56
P0062,Premium Backpack 62,Home & Kitchen,1593.0
P0063,Everyday Coffee 63,Clothing,4503.09
P0064,Smart Headphones 64,Grocery,1277.13
P0065,Classic T-Shirt 65,Beauty,154.12
P0066,Comfort Bottle 66,Electronics,2962.78
P0067,Classic Headphones 67,Home & Kitchen,3553.81
P0068,Classic Bottle 68,Clothing,383.63
P0069,Classic Notebook 69,Grocery,1685.62
P0070,Comfort Bottle 70,Beauty,1428.46
P0071,Smart Bottle 71,Electronics,2719.21
P0072,Comfort Lamp 72,Home & Kitchen,2389.72
P0073,Smart Notebook 73,Clothing,2064.95
P0074,Classic Headphones 74,Grocery,3311.96
P0075,Everyday Coffee 75,Beauty,2084.96
P0076,Classic Backpack 76,Electronics,3284.6
P0077,Classic Headphones 77,Home & Kitchen,2042.98
P0078,Everyday Notebook 78,Clothing,4315.28
P0079,Premium Bottle 79,Grocery,991.53
P0080,Smart Bottle 80,Beauty,2138.31
P0081,Everyday Coffee 81,Electronics,1286.54
P0082,Classic Coffee 82,Home & Kitchen,4049.71
P0083,Comfort Headphones 83,Clothing,300.41
P0084,Comfort Notebook 84,Grocery,123.05
P0085,Classic Notebook 85,Beauty,4251.04
P0086,Premium Coffee 86,Electronics,2453.92
